latitude,longitude,localidade,populacao urb,geocodigo
-16:19:41,-48:57:10,ANÁPOLIS,280164,5201108
-10:54:32,-37:04:03,ARACAJU,461534,2800308
-21:12:27,-50:26:24,ARAÇATUBA,164449,3502804
-18:38:44,-48:11:36,Araguari,92748,3103504
-22:32:53,-44:10:30,BARRA MANSA,165134,3300407
-19:54:36,-43:55:35,BELO HORIZONTE,2238526,3106200
-01:27:19,-48:29:23,BELÉM,1272354,1501402
-26:54:55,-49:04:15,BLUMENAU,241943,4202404
-15:46:46,-47:55:46,BRASÍLIA,1961499,5300108
-21:13:17,-43:46:12,Barbacena,103669,3105608
-20:33:11,-48:34:11,Barretos,98860,3505500
-22:57:09,-46:32:30,Bragança Paulista,111091,3507605
-07:13:19,-35:52:23,CAMPINA GRANDE,337484,2504009
-22:54:19,-47:03:57,CAMPINAS,953218,3509502
-20:26:54,-54:37:46,CAMPO GRANDE,655914,5002704
-08:17:04,-35:58:11,CARUARU,217407,2604106
-24:57:26,-53:27:32,CASCAVEL,228673,4104808
-28:40:20,-49:22:22,CRICIÚMA,153049,4204608
-15:36:03,-56:05:50,CUIABÁ,476532,5103403
-25:25:10,-49:15:52,CURITIBA,1587315,4106902
-22:53:21,-42:01:42,Cabo Frio,106237,3300704
-20:50:46,-41:07:11,Cachoeiro de Itapemirim,155401,3201209
-27:06:01,-52:36:54,Chapecó,134592,4204202
-19:32:57,-40:37:36,Colatina,91298,3201506
-07:12:55,-39:24:37,Crato,83917,2304202
-27:35:40,-48:32:51,FLORIANÓPOLIS,332185,4205407
-03:42:59,-38:32:32,FORTALEZA,2141402,2304400
-25:32:33,-54:34:57,FOZ DO IGUAÇU,256524,4108304
-20:32:06,-47:24:13,FRANCA,282203,3516200
-16:41:11,-49:15:51,GOIANIA,1093007,5208707
-18:51:16,-41:57:19,GOVERNADOR VALADARES,236098,3127701
-08:52:56,-36:29:47,Garanhuns,103435,2606002
-14:47:15,-39:16:41,ITABUNA,191184,2914802
-26:54:36,-48:40:13,ITAJAÍ,141950,4208203
-26:18:16,-48:50:55,JOINVILLE,414972,4209102
-07:06:54,-34:51:50,JOÃO PESSOA,597934,2507507
-07:11:46,-39:18:27,JUAZEIRO DO NORTE,202227,2307304
-21:45:34,-43:20:23,JUIZ DE FORA,453002,3136702
-09:24:58,-40:30:11,Juazeiro,133278,2918407
-27:48:53,-50:19:33,LAGES,153582,4209300
-23:18:14,-51:10:08,LONDRINA,433369,4113700
-09:38:57,-35:42:31,MACEIÓ,795804,2704302
-23:25:13,-51:55:59,MARINGÁ,283978,4115200
-22:22:02,-46:56:34,Mogi Guaçu,116184,3530706
-05:11:01,-37:20:50,Mossoró,199081,2408003
-05:47:36,-35:11:54,NATAL,712317,2408102
-22:52:59,-43:06:12,Niteroi,459451,3303302
-10:12:50,-48:24:03,PALMAS,134179,1721000
-02:54:21,-41:46:31,PARNAÍBA,124988,2207702
-28:15:27,-52:24:32,PASSO FUNDO,163764,4314100
-25:05:29,-50:10:00,PONTA GROSSA,266683,4119905
-30:01:54,-51:12:23,PORTO ALEGRE,1320739,4314902
-08:45:38,-63:53:59,PORTO VELHO,273709,1100205
-22:07:14,-51:23:33,PRESIDENTE PRUDENTE,185229,3541406
-18:34:11,-46:30:04,Patos de Minas,111333,3148004
-09:23:19,-40:30:09,Petrolina,166279,2611101
-22:13:35,-45:56:20,Pouso Alegre,97756,3152501
-08:02:47,-34:52:37,RECIFE,1422905,2611606
-09:58:29,-67:49:27,RIO BRANCO,226298,1200401
-22:54:46,-43:12:01,RIO DE JANEIRO,5857904,3304557
-22:28:13,-44:27:03,Resende,95963,3304201
-16:28:02,-54:38:13,Rondonópolis,141838,5107602
-12:58:18,-38:30:03,SALVADOR,2442102,2927408
-20:48:40,-49:22:32,SÃO JOSÉ DO RIO PRETO,337289,3549805
-23:11:22,-45:53:02,SÃO JOSÉ DOS CAMPOS,532717,3549904
-02:32:19,-44:16:57,SÃO LUÍS,837584,2111300
-23:31:58,-46:38:22,SÕ PAULO,9813187,3550308
-05:05:30,-42:48:12,TERESINA,677470,2211001
-17:32:23,-39:44:23,Teixeira de Freitas,98688,2931350
-17:51:34,-41:30:31,Teófilo Otoni,102812,3168606
-19:44:49,-47:56:17,UBERABA,244171,3170107
-18:54:50,-48:16:29,UBERLANDIA,488982,3170206
-20:18:55,-40:18:46,VITÓRIA,292304,3205309
-14:51:41,-40:50:38,VITÓRIA DA CONQUISTA,225545,2933307
-21:33:20,-45:26:11,Varginha,104165,3170701
-22:31:12,-44:05:58,Volta Redonda,241996,3306305
